"zipcode","pctmin","fires","thefts","pctold","newpol","fairpol","income"
60626,10,6.2,29,60.4,5.3,0,11744
60640,22.2,9.5,44,76.5,3.1,0.1,9323
60613,19.6,10.5,36,73.5,4.8,1.2,9948
60614,24.5,8.6,53,81.4,5.9,0.7,9730
60610,54,34.1,68,52.6,4,0.3,8231
60618,5.3,7.3,31,90.1,7.6,0.4,10694
60647,21.5,15.1,25,89.8,3.1,1.1,9631
60646,1,5.7,11,27.9,12.1,0,16250
60656,1.7,2,11,7.7,10.9,0,13686
60630,1.6,2.5,22,63.8,10.7,0,12405
60651,13.4,15.1,30,89.8,5.2,0.8,10510
60624,94.4,18.4,32,72.9,1.2,1.8,7342
60612,86.2,36.2,41,63.1,0.8,1.8,6565
60607,50.2,39.7,147,83,5.2,0.9,7459
60609,46.2,21.8,4,73.1,2.6,1.3,8330
60638,10.7,3.6,15,20.8,9.1,0,12102
60621,98.9,17.4,32,68.6,1.7,2.2,7520
60637,90.6,11.3,34,73.4,1.9,0.8,7388
60652,1.4,3.4,17,2,12.9,0,13842
60620,71.2,11.9,46,57,4.8,0.9,11040
60619,94.1,10.5,42,55.9,6.6,0.9,10332
60649,66.1,10.7,43,67.5,3.1,0.4,10908
60627,47.4,7,3,11.4,7.7,0.2,10080
60633,34,7.1,23,49.2,11.6,0.3,11428
