"zipcode","pctmin","fires","thefts","pctold","newpol","fairpol","income"
60655,1,4.8,19,15.2,13,0,13323
60632,4.4,5.6,23,71.5,8,0.3,11230
60628,35.1,15.6,28,57.8,7.5,1,11260
60616,62.3,12.2,46,48,3.4,0.6,8212
60617,36.4,10.8,34,58,7.8,0.9,11156
60625,7.1,6.9,18,78.5,6.9,0,11104
60636,48.8,28.6,27,78.1,4,1.4,9742
60644,59.8,16.5,40,72.7,2.7,0.8,9784
60611,4.9,11,75,42.6,7.9,0,21480
60641,1.8,5.4,27,85.1,8.9,0,11600
60657,17.3,7.7,37,66.9,5.7,0.5,10656
60653,99.7,21.6,31,65,0.5,0.9,5583
60608,55.5,23.3,29,79,2.1,1.5,8177
60615,73.5,9,39,75.4,2.7,0.4,8564
60622,43.1,29.1,34,82.7,1.3,1.9,7995
60631,1.1,2.2,14,40.2,14.3,0,13722
60635,1,2.2,9,44.4,11.5,0,12765
60634,1.5,3,17,51.2,13.8,0,12198
60645,3.1,4.9,27,46.6,10.9,0,13731
60643,42.5,10.4,25,40.8,10.2,0.5,12960
60629,1.5,5,32,61.8,11.6,0,11876
60639,2.5,7.2,29,84.2,8.5,0.2,11084
60623,74.2,18.5,22,78.3,1.8,1.9,8014
